N,Start time,End Time,Duration,Date,Title,MediaType,Location
1,00:00:00,00:30:00,00:30:00:00,25-05-2015,GALLAN WITH GULABO -Live,MP,
2,00:30:00,01:00:00,00:30:00:00,25-05-2015,Ru BA RU,MP,
3,01:00:00,01:30:00,00:30:00:00,25-05-2015,SPEAKER KHADKE,MP,
4,01:30:00,02:00:00,00:30:00:00,25-05-2015,SAJJREY SUR,MP,
5,02:00:00,03:00:00,01:00:00:00,25-05-2015,GURUBANI ASA DI WAR,MP,
6,03:00:00,04:00:00,1:00:00:00,25-05-2015,GURUBANI ASA DI WAR,MP,
7,04:00:00,05:00:00,1:00:00:00,25-05-2015,SUKMANI SAHIB-Akath katha - Shabad,MP,
8,05:00:00,06:00:00,1:00:00:00,25-05-2015,SUKMANI SAHIB-Akath katha - Shabad,MP,
9,06:00:00,06:30:00,00:30:00:00,25-05-2015,PAL PAL,MP,
10,06:30:00,07:00:00,00:30:00:00,25-05-2015,THE KANWAR SANDHU SHOW,MP,
11,07:00:00,07:15:00,00:15:00:00,25-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
12,07:15:00,07:30:00,00:15:00:00,25-05-2015,SPEAKER KHADKE,MP,
13,07:30:00,08:00:00,00:30:00:00,25-05-2015,PANGA TV,MP,
14,08:00:00,08:30:00,00:30:00:00,25-05-2015,DR KANG SHOW,MP,
15,08:30:00,08:45:00,00:15:00:00,25-05-2015,FITNESS SHOW(TUMMY FIT),MP,
16,08:45:00,09:00:00,00:15:00:00,25-05-2015,SPEAKER KHADKE,MP,
17,09:00:00,09:30:00,00:30:00:00,25-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
18,09:30:00,10:00:00,00:30:00:00,25-05-2015,THE KANWAR SANDHU SHOW,MP,
19,10:00:00,10:30:00,00:30:00:00,25-05-2015,FITNESS SHOW,MP,
20,10:30:00,11:00:00,00:30:00:00,25-05-2015,PUNJABI NEWS,MP,
21,11:00:00,11:30:00,00:30:00:00,25-05-2015,PAL PAL,MP,
22,11:30:00,11:45:00,00:15:00 :00,25-05-2015,SHOKINIYAN,MP,
23,11:45:00,12:00:00,00:15:00 :00,25-05-2015,SPEAKER KHADKE,MP,
24,12:00:00,12:30:00,00:30:00:00,25-05-2015,KHOOBSURTI,MP,
25,12:30:00,13:00:00,00:30:00:00,25-05-2015,PUNJABI BITES,MP,
26,13:00:00,13:30:00,00:30:00:00,25-05-2015,SPEAKER KHADKE,MP,
27,13:30:00,14:00:00,00:30:00:00,25-05-2015,BHAI KHALSA TRUST,MP,
28,14:00:00,15:00:00,1:00:00:00,25-05-2015,GURBANI-REHRASS-SHABAD-AKATH KATHA,MP,
29,15:00:00,16:00:00,01:00:00:00,25-05-2015,BABA BALAK NATH,MP,
30,16:00:00,16:30:00,00:30:00:00,25-05-2015,DHUR KI BANI (F),MP,
31,16:30:00,17:00:00,00:30:00:00,25-05-2015,GLOBAL PUNJAB DEBATE,MP,
32,17:00:00,17:30:00,00:30:00:00,25-05-2015,PUNJABI NEWS,MP,
33,17:30:00,18:30:00,1:00:00:00,25-05-2015,HELLO GLOBAL PUNJAB-LIVE,MP,
34,18:30:00,19:00:00,00:30:00:00,25-05-2015,GALLAN WITH GULABO-LIVE,MP,
35,19:00:00,19:15:00,00:15:00:00,25-05-2015,BARU SAHIB-WAY OF LIVE,MP,
36,19:15:00,19:30:00,00:15:00:00,25-05-2015,SPEAKER KHADKE,MP,
37,19:30:00,20:00:00,00:30:00:00,25-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
38,20:00:00,20:30:00,00:30:00:00,25-05-2015,PUNJABI NEWS,MP,
39,20:30:00,21:00:00,00:30:00:00,25-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
40,21:00:00,21:30:00,00:30:00:00,25-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
41,21:30:00,22:00:00,00:30:00:00,25-05-2015,GALLAN WITH GULABO-RPT,MP,
42,22:00:00,22:30:00,00:30:00:00,25-05-2015,SHOKINIYAN,MP,
43,22:30:00,23:00:00,00:30:00:00,25-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
44,23:00:00,23:30:00,00:30:00:00,25-05-2015,PUNJABI NEWS,MP,
45,23:30:00,00:00:00,00:30:00:00,25-05-2015,GLOBAL PUNJAB DEBATE,MP,
46,00:00:00,00:30:00,00:30:00:00,26-05-2015,GALLAN WITH GULABO,MP,
47,00:30:00,01:00:00,00:30:00:00,26-05-2015,30 MINUTES,MP,
48,01:00:00,01:30:00,00:30:00:00,26-05-2015,SPEAKER KHADKE,MP,
49,01:30:00,02:00:00,00:30:00:00,26-05-2015,RU BA RU (F),MP,
50,02:00:00,03:00:00,01:00:00:00,26-05-2015,GURUBANI ASA DI WAR,MP,
51,03:00:00,04:00:00,1:00:00:00,26-05-2015,GURUBANI ASA DI WAR,MP,
52,04:00:00,05:00:00,1:00:00:00,26-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
53,05:00:00,06:00:00,1:00:00:00,26-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
54,06:00:00,06:30:00,00:30:00:00,26-05-2015,PAL PAL,MP,
55,06:30:00,07:00:00,00:30:00:00,26-05-2015,GLOBAL PUNJAB DEBATE,MP,
56,07:00:00,07:15:00,00:15:00:00,26-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
57,07:15:00,07:30:00,00:15:00:00,26-05-2015,SPEAKER KHADKE,MP,
58,07:30:00,08:00:00,00:30:00:00,26-05-2015,SHOKINIYAN,MP,
59,08:00:00,08:30:00,00:30:00:00,26-05-2015,DISCUSSION POINT,MP,
60,08:30:00,08:45:00,00:15:00:00,26-05-2015,FITNESS SHOW(TUMMY FIT),MP,
61,08:45:00,09:00:00,00:15:00:00,26-05-2015,SPEAKER KHADKE,MP,
62,09:00:00,09:30:00,00:30:00:00,26-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
63,09:30:00,10:00:00,00:30:00:00,26-05-2015,GLOBAL PUNJAB DEBATE,MP,
64,10:00:00,10:30:00,00:30:00:00,26-05-2015,FITNESS SHOW,MP,
65,10:30:00,11:00:00,00:30:00:00,26-05-2015,PUNJABI NEWS,MP,
66,11:00:00,11:30:00,00:30:00:00,26-05-2015,PAL PAL,MP,
67,11:30:00,11:45:00,00:15:00 :00,26-05-2015,DR KANG SHOW,MP,
68,11:45:00,12:00:00,00:15:00 :00,26-05-2015,SPEAKER KHADKE,MP,
69,12:00:00,12:30:00,00:30:00:00,26-05-2015,GALLAN WITH GULABO,MP,
70,12:30:00,13:00:00,00:30:00:00,26-05-2015,Ru BA RU (F),MP,
71,13:00:00,13:30:00,00:30:00:00,26-05-2015,SPEAKER KHADKE,MP,
72,13:30:00,14:00:00,00:30:00:00,26-05-2015,DHUR KI BANI,MP,
73,14:00:00,15:00:00,1:00:00:00,26-05-2015,GURBANI-REHRASS-SHABAD-AKATH KATHA,MP,
74,15:00:00,15:30:00,00:30:00:00,26-05-2015,HEALTH SHOW(DR VIRK),MP,
75,15:30:00,15:45:00,00:15:00:00,26-05-2015,SPEAKER KHADKE,MP,
76,15:45:00,16:00:00,00:15:00:00,26-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
77,16:00:00,16:30:00,00:30:00 00,26-05-2015,30 MINUTES(F),MP,
78,16:30:00,17:00:00,00:30:00:00,26-05-2015,GLOBAL PUNJAB DEBATE,MP,
79,17:00:00,17:30:00,00:30:00:00,26-05-2015,PUNJABI NEWS,MP,
80,17:30:00,18:30:00,1:00:00:00,26-05-2015,HELLO GLOBAL PUNJAB-LIVE,MP,
81,18:30:00,19:00:00,00:30:00:00,26-05-2015,GALLAN WITH GULABO-LIVE,MP,
82,19:00:00,19:30:00,00:30:00:00,26-05-2015,RU BA RU,MP,
83,19:30:00,20:00:00,00:30:00:00,26-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
84,20:00:00,20:30:00,00:30:00:00,26-05-2015,PUNJABI NEWS,MP,
85,20:30:00,21:00:00,00:30:00:00,26-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
86,21:00:00,21:30:00,00:30:00:00,26-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
87,21:30:00,22:00:00,00:30:00:00,26-05-2015,GALLAN WITH GULABO-RPT,MP,
88,22:00:00,22:30:00,00:30:00:00,26-05-2015,RU BA RU ,MP,
89,22:30:00,23:00:00,00:30:00:00,26-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
